# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS
#
830	Rangoon	day's (work)	827	jɛʔ⁴	/ʔ j ɛ ʔ ⁴	i m n c t	/ʔ j ɛ ʔ ⁴	2976
2586	Achang_Longchuan	day's (work)	827	ȵen³¹	ȵ e n ³¹	i n c t	ȵ - e n ³¹	2975
4153	Xiandao	day's (work)	827	nɛn³⁵	n ɛ n ³⁵	i n c t	n - ɛ n ³⁵	2975
5759	Atsi	day's (work)	827	ŋji̱⁵⁵	ˀŋ j i ⁵⁵	i m n t	ˀŋ j i - ⁵⁵	2975
7462	Maru	day's (work)	827	nɛʔ³¹	n ɛ ʔ ³¹	i n c t	n - ɛ ʔ ³¹	2975
9142	Bola	day's (work)	827	nɛʔ³¹	n ɛ ʔ ³¹	i n c t	n - ɛ ʔ ³¹	2975
10789	Lashi	day's (work)	827	ŋjei⁵⁵	ŋ j ei ⁵⁵	i m n t	ŋ j ei - ⁵⁵	2975
#
996	Rangoon	dead	992	a⁵³tθe²²	/ʔ a ⁵³ + tθ e ²²	i n t + i n t	/ʔ a ⁵³ + tθ e ²²	2984 2983
2752	Achang_Longchuan	dead	992	ʂɿ⁵⁵	ʂ ɿ ⁵⁵	i n t	ʂ ɿ - ⁵⁵	2981
4306	Xiandao	dead	992	ʂɿ⁵⁵	ʂ ɿ ⁵⁵	i n t	ʂ ɿ - ⁵⁵	2981
5929	Atsi	dead	992	ʃi⁵¹e⁵⁵	ʃ i ⁵¹ + /ʔ e ⁵⁵	i n t + i n t	ʃ i - ⁵¹ + /ʔ e ⁵⁵	2981 2982
7623	Maru	dead	992	ʃi̱k³¹kau³⁵	ˀʃ i k ³¹ + k au ³⁵	i n c t + i n t	ˀʃ i k ³¹ + k au ³⁵	2981 2983
9308	Bola	dead	992	ʃɿ⁵⁵ku³¹	ʃ ɿ ⁵⁵ + k u ³¹	i n t + i n t	ʃ ɿ - ⁵⁵ + k u ³¹	2981 2983
10943	Lashi	dead	992	ʃə̱i³³tsə⁵⁵	ˀʃ əi ³³ + ts ə ⁵⁵	i n t + i n t	ˀʃ əi - ³³ + ts ə ⁵⁵	2981 2983
#
202	Rangoon	deaf person	202	nɑ⁵⁵pĩ⁵⁵tθu²²	/ʔ n ɑ ⁵⁵ + p ĩ ∼ ⁵⁵ + tθ u ²²	i m n t + i n c t + i n t	/ʔ n ɑ ⁵⁵ + p ĩ ∼ ⁵⁵ + tθ u - ²²	2991 2992 2993
2016	Achang_Longchuan	deaf person	202	n̥ɔ³¹kəŋ³¹	n̥ ɔ ³¹ + k ə ŋ ³¹	i n t + i n c t	n̥ - ɔ ³¹ + k ə ŋ ³¹	2991 2992
3669	Xiandao	deaf person	202	n̥a³¹pɔŋ³¹	n̥ a ³¹ + p ɔ ŋ ³¹	i n t + i n c t	n̥ - a ³¹ + p ɔ ŋ ³¹	2991 2992
5135	Atsi	deaf person	202	nŏ²¹tʃit²¹	n ŏ ²¹ + tʃ i t ²¹	i n t + i n c t	n - ŏ ²¹ + tʃ i t ²¹	2991 2993
6903	Maru	deaf person	202	nə̆³¹tʃik³¹	n ə̆ ³¹ + tʃ i k ³¹	i n t + i n c t	n - ə̆ ³¹ + tʃ i k ³¹	2991 2993
8539	Bola	deaf person	202	nə̆³¹tʃɔt³¹	n ə̆ ³¹ + tʃ ɔ t ³¹	i n t + i n c t	n - ə̆ ³¹ + tʃ ɔ t ³¹	2991 2993
10258	Lashi	deaf person	202	nə̆³³tʃɛt³¹	n ə̆ ³³ + tʃ ɛ t ³¹	i n t + i n c t	n - ə̆ ³³ + tʃ ɛ t ³¹	2991 2993
#
1404	Rangoon	deaf, be	1393	nɑ⁵⁵pĩ⁵⁵	/ʔ n ɑ ⁵⁵ + p ĩ ∼ ⁵⁵	i m n t + i n c t	/ʔ n ɑ ⁵⁵ + p - ĩ ∼ ⁵⁵	6427 2998
3118	Achang_Longchuan	deaf, be	1393	kəŋ³¹	k ə ŋ ³¹	i n c t	k ə ŋ ³¹	2995
4602	Xiandao	deaf, be	1393	n̥ɔ³¹pjau³¹	n̥ ɔ ³¹ + p j au ³¹	i n t + i m n t	n̥ - ɔ ³¹ + p j au - ³¹	6427 2998
6336	Atsi	deaf, be	1393	tʃit²¹	tʃ i t ²¹	i n c t	tʃ i t ²¹	2996
7976	Maru	deaf, be	1393	tʃik⁵⁵	tʃ i k ⁵⁵	i n c t	tʃ i k ⁵⁵	2996
9699	Bola	deaf, be	1393	tʃɔt³¹	tʃ ɔ t ³¹	i n c t	tʃ ɔ t ³¹	2996
11276	Lashi	deaf, be	1393	tʃiːt³¹	tʃ iː t ³¹	i n c t	tʃ iː t ³¹	2996
12005	Old_Burmese	deaf, be	1393	naḥ◦paṅḥ	n a ⁵⁵ + p a ŋ ⁵⁵	i n t + i n c t	n - a ⁵⁵ + p - a ŋ ⁵⁵	6427 2998
#
1463	Rangoon	deceive / cheat	1452	lẽ²²	l ẽ ∼ ²²	i n c t	l ẽ ∼ ²²	3005
3174	Achang_Longchuan	deceive / cheat	1452	pʐuaʔ⁵⁵	p ʐ ua ʔ ⁵⁵	i m n c t	p ʐ ua ʔ ⁵⁵	3002
4655	Xiandao	deceive / cheat	1452	pʐɔʔ⁵⁵	pʐ ɔ ʔ ⁵⁵	i n c t	pʐ - ɔ ʔ ⁵⁵	3002
6395	Atsi	deceive / cheat	1452	ma̱u⁵⁵	ˀm a u ⁵⁵	i n N t	ˀm a u - ⁵⁵	3003
8033	Maru	deceive / cheat	1452	mu̱k⁵⁵	ˀm u k ⁵⁵	i n c t	ˀm u - k ⁵⁵	3003
9757	Bola	deceive / cheat	1452	ma̱u³⁵xap⁵⁵	ˀm au ³⁵ + x a p ⁵⁵	i n t + i n c t	ˀm au - - ³⁵ + x a p ⁵⁵	3003 3004
11329	Lashi	deceive / cheat	1452	ma̱ːu⁵³	ˀm aːu ⁵³	i n t	ˀm aːu - - ⁵³	3003
#
1036	Rangoon	decoct (herbal medicine)	1032	tɕo²²	tɕ o ²²	i n t	tɕ o ²²	3011
2787	Achang_Longchuan	decoct (herbal medicine)	1032	tuaŋ³¹	t ua ŋ ³¹	i n c t	t ua ŋ ³¹	3009
5970	Atsi	decoct (herbal medicine)	1032	tʃo̱ʔ⁵⁵	ˀtʃ o ʔ ⁵⁵	i n c t	ˀtʃ o ʔ ⁵⁵	3010
7652	Maru	decoct (herbal medicine)	1032	tʃɔ̱ʔ⁵⁵	ˀtʃ ɔ ʔ ⁵⁵	i n c t	ˀtʃ ɔ ʔ ⁵⁵	3010
9347	Bola	decoct (herbal medicine)	1032	tʃa̱ʔ⁵⁵	ˀtʃ a ʔ ⁵⁵	i n c t	ˀtʃ a ʔ ⁵⁵	3010
#
1800	Rangoon	decoct (porridge / conjee) (note:+medicine)	1783	pjouʔ⁴	p j o u ʔ ⁴	i m n N c t	p j o u ʔ ⁴	3014
#
898	Rangoon	deep	895	nɛʔ⁴	n ɛ ʔ ⁴	i n c t	n ɛ ʔ ⁴	9766
2653	Achang_Longchuan	deep	895	lək⁵⁵	l ə k ⁵⁵	i n c t	l ə k ⁵⁵	9766
4212	Xiandao	deep	895	nɯk⁵⁵	n ɯ k ⁵⁵	i n c t	n ɯ k ⁵⁵	9766
5828	Atsi	deep	895	nik²¹	n i k ²¹	i n c t	n i k ²¹	9766
7529	Maru	deep	895	nɔʔ³¹	n ɔ ʔ ³¹	i n c t	n ɔ ʔ ³¹	9766
9209	Bola	deep	895	naʔ³¹	n a ʔ ³¹	i n c t	n a ʔ ³¹	9766
10856	Lashi	deep	895	nəːk³¹	n əː k ³¹	i n c t	n əː k ³¹	9766
11976	Old_Burmese	deep	895	nak	n a k ⁴	i n c t	n a k ⁴	9766
#
298	Rangoon	deer	296	tθɑ⁵³mĩ²²	tθ ɑ ⁵³ + m ĩ ∼ ²²	i n t + i n c t	tθ ɑ ⁵³ + m ĩ ∼ ²²	3018 3019
2108	Achang_Longchuan	deer	296	tɕhet⁵⁵kʐə³¹	tɕʰ e t ⁵⁵ + k ʐ ə ³¹	i n c t + i m n t	tɕʰ e t ⁵⁵ + k ʐ ə ³¹	3016 3017
3760	Xiandao	deer	296	thɛt⁵⁵	th ɛ t ⁵⁵	i n c t	th ɛ t ⁵⁵	3016
5233	Atsi	deer	296	tshat⁵⁵	tsʰ a t ⁵⁵	i n c t	tsʰ a t ⁵⁵	3016
6996	Maru	deer	296	tshɛʔ⁵⁵	tsh ɛ ʔ ⁵⁵	i n c t	tsh ɛ ʔ ⁵⁵	3016
8630	Bola	deer	296	tʃhɛt³¹	tʃh ɛ t ³¹	i n c t	tʃh ɛ t ³¹	3016
10348	Lashi	deer	296	tshat⁵⁵	tsh a t ⁵⁵	i n c t	tsh a t ⁵⁵	3016
11942	Old_Burmese	deer	296	saʔ◦maṅ	s a ⁵³ + m a ŋ ²²	i n t + i n c t	s a ⁵³ + m a ŋ ²²	3018 3019
#
300	Rangoon	deer (river)	298	ŋɛ²²	ŋ ɛ ²²	i n t	ŋ ɛ ²²	3024
#
1311	Rangoon	deposit / leave with	1302	ɑʔ⁴	/ʔ ɑ ʔ ⁴	i n c t	/ʔ ɑ ʔ ⁴	3032
3035	Achang_Longchuan	deposit / leave with	1302	tshun³¹	tsʰ u n ³¹	i n c t	tsʰ u n ³¹	3025
6244	Atsi	deposit / leave with	1302	ap²¹pji²¹to̱²¹	/ʔ a p ²¹ + p j i ²¹ + ˀt o ²¹	i n c t + i m n t + i n t	/ʔ a p ²¹ + p j i ²¹ + ˀt o ²¹	3026 3027 429
7893	Maru	deposit / leave with	1302	tɔ⁵⁵tɔ̱³¹	t ɔ ⁵⁵ + ˀt ɔ ³¹	i n t + i n t	t ɔ ⁵⁵ + ˀt ɔ ³¹	3031 429
9609	Bola	deposit / leave with	1302	i̱³¹ta̱³⁵ta̱³¹	ˀ/ʔ i ³¹ + ˀt a ³⁵ + ˀt a ³¹	i n t + i n t + i n t	ˀ/ʔ i ³¹ + ˀt a ³⁵ + ˀt a ³¹	3029 429 3030
#
1294	Rangoon	destroy (cause to)	1285	phjɛʔ⁴	pʰ j ɛ ʔ ⁴	i m n c t	pʰ j ɛ ʔ ⁴	3039
6228	Atsi	destroy (cause to)	1285	lo̱ʔ⁵⁵kjom²¹	ˀl o ʔ ⁵⁵ + k j o m ²¹	i n c t + i m n c t	ˀl o ʔ ⁵⁵ + k j o m ²¹	2476 3036
9594	Bola	destroy (cause to)	1285	la̱ʔ⁵⁵pɛ̃³¹pjɛ̱ʔ⁵⁵	ˀl a ʔ ⁵⁵ + p ɛ̃ ∼ ³¹ + ˀp j ɛ ʔ ⁵⁵	i n c t + i n c t + i m n c t	ˀl a ʔ ⁵⁵ + p ɛ̃ ∼ ³¹ + ˀp j ɛ ʔ ⁵⁵	2476 3037 3038
#
1293	Rangoon	destroy / exterminate	1284	pjɛʔ⁴ pjõ⁵⁵	p j ɛ ʔ ⁴ + p j õ ∼ ⁵⁵	i m n c t + i m n c t	p j ɛ ʔ ⁴ + p j õ ∼ ⁵⁵	3045 3043
6227	Atsi	destroy / exterminate	1284	kjom²¹	k j o m ²¹	i m n c t	k j o m ²¹	3041
7881	Maru	destroy / exterminate	1284	mja̱³¹	ˀm j a ³¹	i m n t	ˀm j a ³¹	3044
9593	Bola	destroy / exterminate	1284	pɛ̃³¹pjɛ̱ʔ⁵⁵	p ɛ̃ ∼ ³¹ + ˀp j ɛ ʔ ⁵⁵	i n c t + i m n c t	p ɛ̃ ∼ ³¹ + ˀp j ɛ ʔ ⁵⁵	3042 3043
#
1206	Rangoon	develop (a career / undertaking)	1200	to⁵⁵tɛʔ⁴ɑ̃u²²loʔ⁴	t o ⁵⁵ + t ɛ ʔ ⁴ + /ʔ ɑ̃ u ∼ ²² + l o ʔ ⁴	i n t + i n c t + i n N c t + i n c t	t o ⁵⁵ + t ɛ ʔ ⁴ + /ʔ ɑ̃ u ∼ ²² + l o ʔ ⁴	3048 3047 3049 3050
2946	Achang_Longchuan	develop (a career / undertaking)	1200	pʐə⁵⁵	p ʐ ə ⁵⁵	i m n t	p ʐ ə - ⁵⁵	3045
6140	Atsi	develop (a career / undertaking)	1200	lo̱ʔ⁵⁵tʃat²¹	ˀl o ʔ ⁵⁵ + tʃ a t ²¹	i n c t + i n c t	ˀl o ʔ ⁵⁵ + tʃ a t ²¹	3046 3047
#
1205	Rangoon	develop (career / undertaking)	1199	to⁵⁵tɛʔ⁴	t o ⁵⁵ + t ɛ ʔ ⁴	i n t + i n c t	t o ⁵⁵ + t ɛ ʔ ⁴	3055 3047
6139	Atsi	develop (career / undertaking)	1199	mjo²¹tʃat²¹	m j o ²¹ + tʃ a t ²¹	i m n t + i n c t	m j o ²¹ + tʃ a t ²¹	3052 3047
9510	Bola	develop (career / undertaking)	1199	mja³¹la⁵⁵	m j a ³¹ + l a ⁵⁵	i m n t + i n t	m j a ³¹ + l a ⁵⁵	3052 3054
#
15	Rangoon	dew	15	n̥ɪ̃⁵⁵	n̥ ɪ̃ ∼ ⁵⁵	i n c t	n̥ ɪ̃ ∼ ⁵⁵	5734
1846	Achang_Longchuan	dew	15	tshe³¹	tsʰ e ³¹	i n t	tsʰ e ³¹	3057
3512	Xiandao	dew	15	tshɛ³¹	tsh ɛ ³¹	i n t	tsh ɛ ³¹	3057
4952	Atsi	dew	15	ŋa̱n⁵¹	ˀŋ a n ⁵¹	i n c t	ˀŋ a n ⁵¹	5734
6741	Maru	dew	15	ŋa̱ŋ³¹	ˀŋ a ŋ ³¹	i n c t	ˀŋ a ŋ ³¹	5734
8366	Bola	dew	15	ŋɛ̱̃⁵⁵	ˀŋ ɛ̃ ∼ ⁵⁵	i n c t	ˀŋ ɛ̃ ∼ ⁵⁵	5734
10105	Lashi	dew	15	ŋa̱n³³tʃu⁵⁵	ˀŋ a n ³³ + tʃ u ⁵⁵	i n c t + i n t	ˀŋ a n ³³ + tʃ u ⁵⁵	5734 3059
11822	Old_Burmese	dew	15	nhaṅḥ	n̥ a ŋ ⁵⁵	i n c t	n̥ a ŋ ⁵⁵	5734
#
1633	Rangoon	diarrhea, have	1618	wũ⁵⁵ɕɔ⁵⁵	/ʔ w ũ ∼ ⁵⁵ + ɕ ɔ ⁵⁵	i m n c t + i n t	/ʔ w ũ ∼ ⁵⁵ + ɕ ɔ ⁵⁵	3063 3064
3339	Achang_Longchuan	diarrhea, have	1618	pan³¹	p a n ³¹	i n c t	p a n ³¹	3062
4803	Xiandao	diarrhea, have	1618	tut³⁵	t u t ³⁵	i n c t	t u t ³⁵	3065
6568	Atsi	diarrhea, have	1618	ʃun⁵¹	ʃ u n ⁵¹	i n c t	ʃ - u n ⁵¹	3063
8200	Maru	diarrhea, have	1618	ʃum³¹	ʃ u m ³¹	i n c t	ʃ - u m ³¹	3063
9928	Bola	diarrhea, have	1618	ʃɔn⁵⁵	ʃ ɔ n ⁵⁵	i n c t	ʃ - ɔ n ⁵⁵	3063
11477	Lashi	diarrhea, have	1618	ʃuːn³³	ʃ uː n ³³	i n c t	ʃ - uː n ³³	3063
#
1548	Rangoon	die	1535	tθe²²	tθ e ²²	i n t	tθ e - ²²	3071
3259	Achang_Longchuan	die	1535	ʂɿ⁵⁵	ʂ ɿ ⁵⁵	i n t	ʂ ɿ - ⁵⁵	3071
4730	Xiandao	die	1535	ʂɿ⁵⁵	ʂ ɿ ⁵⁵	i n t	ʂ ɿ - ⁵⁵	3071
6482	Atsi	die	1535	ʃi⁵¹	ʃ i ⁵¹	i n t	ʃ i - ⁵¹	3071
8118	Maru	die	1535	ʃik³¹	ʃ i k ³¹	i n c t	ʃ i k ³¹	3071
9844	Bola	die	1535	ʃɿ⁵⁵	ʃ ɿ ⁵⁵	i n t	ʃ ɿ - ⁵⁵	3071
11406	Lashi	die	1535	ʃeːi³³	ʃ eːi ³³	i n t	ʃ eːi - ³³	3071
11632	Old_Burmese	die	1535	siy	s ə j ²²	i n c t	s ə j ²²	3071
#
1421	Rangoon	die out (of fire)	1410	ȵẽ⁵⁵	ɲ ẽ ∼ ⁵⁵	i n c t	ɲ ẽ ∼ ⁵⁵	3074
3135	Achang_Longchuan	die out (of fire)	1410	ʂɿ⁵⁵	ʂ ɿ ⁵⁵	i n t	ʂ ɿ - ⁵⁵	3071
4617	Xiandao	die out (of fire)	1410	ʂɿ⁵⁵	ʂ ɿ ⁵⁵	i n t	ʂ ɿ - ⁵⁵	3071
6353	Atsi	die out (of fire)	1410	tʃom²¹	tʃ o m ²¹	i n c t	tʃ o m ²¹	3072
7993	Maru	die out (of fire)	1410	ʃik³¹	ʃ i k ³¹	i n c t	ʃ i k ³¹	3071
9716	Bola	die out (of fire)	1410	ʃɿ⁵⁵	ʃ ɿ ⁵⁵	i n t	ʃ ɿ - ⁵⁵	3071
11290	Lashi	die out (of fire)	1410	sa̱ːt⁵⁵	ˀs aː t ⁵⁵	i n c t	ˀs aː t ⁵⁵	3073
#
648	Rangoon	difference / distinction	646	kwɑ²²	k w ɑ ²²	i m n t	k w ɑ ²²	3080
5577	Atsi	difference / distinction	646	kɣŋ²¹khaʔ²¹	k ɣ ŋ ²¹ + kʰ a ʔ ²¹	i n c t + i n c t	k ɣ ŋ ²¹ + kʰ a ʔ ²¹	3077 3078
8961	Bola	difference / distinction	646	kɛ̃³¹khaʔ⁵⁵	k ɛ̃ ∼ ³¹ + kh a ʔ ⁵⁵	i n c t + i n c t	k ɛ̃ ∼ ³¹ + kh a ʔ ⁵⁵	3079 3078
10631	Lashi	difference / distinction	646	kəŋ³¹khaʔ⁵⁵	k ə ŋ ³¹ + kh a ʔ ⁵⁵	i n c t + i n c t	k ə ŋ ³¹ + kh a ʔ ⁵⁵	3079 3078
#
975	Rangoon	difficult	971	khɛʔ⁴	kʰ ɛ ʔ ⁴	i n c t	kʰ ɛ ʔ ⁴	3087
2733	Achang_Longchuan	difficult	971	ko³¹	k o ³¹	i n t	k o ³¹	3084
4287	Xiandao	difficult	971	ko³¹	k o ³¹	i n t	k o ³¹	3084
5908	Atsi	difficult	971	vui²¹	v u i ²¹	i m n t	v u i - ²¹	3085
7603	Maru	difficult	971	ɣuk⁵⁵	ɣ u k ⁵⁵	i n c t	ɣ - u k ⁵⁵	3085
9287	Bola	difficult	971	ɣu³¹	ɣ u ³¹	i n t	ɣ - u - ³¹	3085
10925	Lashi	difficult	971	jaːu³³	/ʔ j aːu ³³	i m n t	/ʔ j aːu ³³	3086
12057	Old_Burmese	difficult	971	khak	kh a k ⁴	i n c t	kh a k ⁴	3087
#
1055	Rangoon	dig	1051	tu⁵⁵	t u ⁵⁵	i n t	t u ⁵⁵	3092
5990	Atsi	dig	1051	thui⁵⁵	tʰ u i ⁵⁵	i m n t	tʰ u i ⁵⁵	3090
9366	Bola	dig	1051	tsɔ̱t⁵⁵	ˀts ɔ t ⁵⁵	i n c t	ˀts ɔ t ⁵⁵	3091
#
1358	Rangoon	dig / excavate	1348	tu⁵⁵	t u ⁵⁵	i n t	t u ⁵⁵	3096
3078	Achang_Longchuan	dig / excavate	1348	xan³¹ʑai⁵⁵	x a n ³¹ + ʑ ai ⁵⁵	i n c t + i n t	x a n ³¹ + ʑ ai ⁵⁵	3093 3094
6291	Atsi	dig / excavate	1348	pa̱u⁵¹	ˀp a u ⁵¹	i n N t	ˀp a u ⁵¹	3095
9654	Bola	dig / excavate	1348	pa̱u⁵⁵	ˀp au ⁵⁵	i n t	ˀp au - ⁵⁵	3095
#
1594	Rangoon	dig / scoop out	1579	tu⁵⁵	t u ⁵⁵	i n t	t u ⁵⁵	3098
3305	Achang_Longchuan	dig / scoop out	1579	tu³¹	t u ³¹	i n t	t u ³¹	3098
4773	Xiandao	dig / scoop out	1579	tu³¹	t u ³¹	i n t	t u ³¹	3098
6529	Atsi	dig / scoop out	1579	khai²¹	kʰ a i ²¹	i n N t	kʰ a i ²¹	3099
8164	Maru	dig / scoop out	1579	tau³⁵	t au ³⁵	i n t	t au ³⁵	3098
9891	Bola	dig / scoop out	1579	khøʔ³¹	kh ø ʔ ³¹	i n c t	kh ø ʔ ³¹	3100
11446	Lashi	dig / scoop out	1579	tuː³³	t uː ³³	i n t	t uː ³³	3098
11633	Old_Burmese	dig / scoop out	1579	tuḥ	t u ⁵⁵	i n t	t u ⁵⁵	3098
#
1382	Rangoon	dig out with finger	1371	kɔ²²	k ɔ ²²	i n t	k ɔ ²²	3101
3098	Achang_Longchuan	dig out with finger	1371	khou³¹	kʰ ou ³¹	i n t	kʰ ou ³¹	3101
4583	Xiandao	dig out with finger	1371	kʐak³⁵	kʐ a k ³⁵	i n c t	kʐ a k ³⁵	3105
6315	Atsi	dig out with finger	1371	tʃhoʔ⁵⁵	tʃʰ o ʔ ⁵⁵	i n c t	tʃʰ o ʔ ⁵⁵	3102
7956	Maru	dig out with finger	1371	tʃhɔʔ⁵⁵	tʃh ɔ ʔ ⁵⁵	i n c t	tʃh ɔ ʔ ⁵⁵	3102
9677	Bola	dig out with finger	1371	pa̱u⁵⁵	ˀp au ⁵⁵	i n t	ˀp au ⁵⁵	3103
11255	Lashi	dig out with finger	1371	kjɔ̱ːŋ⁵⁵	ˀk j ɔː ŋ ⁵⁵	i m n c t	ˀk j ɔː ŋ ⁵⁵	3104
#
1626	Rangoon	digest	1611	ɑ⁵³sɑ²²tɕe²²	/ʔ ɑ ⁵³ + s ɑ ²² + tɕ e ²²	i n t + i n t + i n t	/ʔ ɑ ⁵³ + s ɑ ²² + tɕ e ²²	3110 3111 3112
6561	Atsi	digest	1611	lui⁵⁵nu̱ʔ⁵⁵	l u i ⁵⁵ + ˀn u ʔ ⁵⁵	i m n t + i n c t	l u i ⁵⁵ + ˀn u ʔ ⁵⁵	3108 3109
#
37	Rangoon	dike / embankment	37	tɑ²²jo⁵⁵	t ɑ ²² + /ʔ j o ⁵⁵	i n t + i m n t	t ɑ ²² + /ʔ j o ⁵⁵	3116 3117
4974	Atsi	dike / embankment	37	vui⁵¹to̱ŋ⁵¹	v u i ⁵¹ + ˀt o ŋ ⁵¹	i m n t + i n c t	v u i ⁵¹ + ˀt o ŋ ⁵¹	3113 3114
8386	Bola	dike / embankment	37	tuŋ³⁵ka̱m³¹	t u ŋ ³⁵ + ˀk a m ³¹	i n c t + i n c t	t u ŋ ³⁵ + ˀk a m ³¹	3114 3115
#
1083	Rangoon	dilute / add water	1079	tho⁵⁵	tʰ o ⁵⁵	i n t	tʰ o ⁵⁵	3123
2832	Achang_Longchuan	dilute / add water	1079	ŋˌon⁵⁵	ŋ o n ⁵⁵	i n c t	ŋ o n ⁵⁵	3119
4361	Xiandao	dilute / add water	1079	xon⁵⁵	x o n ⁵⁵	i n c t	x o n ⁵⁵	3119
6018	Atsi	dilute / add water	1079	pa̱u⁵⁵	ˀp a u ⁵⁵	i n N t	ˀp a u ⁵⁵	3120
7692	Maru	dilute / add water	1079	kɛ̱ʔ⁵⁵	ˀk ɛ ʔ ⁵⁵	i n c t	ˀk ɛ ʔ ⁵⁵	3122
9393	Bola	dilute / add water	1079	la̱uʔ⁵⁵	ˀl au ʔ ⁵⁵	i n c t	ˀl au ʔ ⁵⁵	3121
#
660	Rangoon	direction / orientation	658	u⁵⁵ti²²tɕhɛʔ⁴	/ʔ u ⁵⁵ + t i ²² + tɕʰ ɛ ʔ ⁴	i n t + i n t + i n c t	/ʔ u ⁵⁵ + t i ²² + tɕʰ ɛ ʔ ⁴	3125 3126 3127
5589	Atsi	direction / orientation	658	phjaŋ²¹	pʰ j a ŋ ²¹	i m n c t	pʰ j a ŋ ²¹	3124
#
158	Rangoon	dirt / filth	158	ɑ⁵³ȵiʔ⁴ɑ⁵³tɕe⁵⁵	/ʔ ɑ ⁵³ + ɲ i ʔ ⁴ + /ʔ ɑ ⁵³ + tɕ e ⁵⁵	i n t + i n c t + i n t + i n t	/ʔ ɑ - ⁵³ + ɲ i ʔ ⁴ + /ʔ ɑ ⁵³ + tɕ e ⁵⁵	3128 3129 3130 3131
1978	Achang_Longchuan	dirt / filth	158	a⁵⁵num⁵¹	/ʔ a ⁵⁵ + n u m ⁵¹	i n t + i n c t	/ʔ a - ⁵⁵ + n u m ⁵¹	3128 3129
3632	Xiandao	dirt / filth	158	sai³¹	s ai ³¹	i n t	s ai - ³¹	3128
5092	Atsi	dirt / filth	158	xi²¹	x i ²¹	i n t	x i - ²¹	3128
6864	Maru	dirt / filth	158	xək⁵⁵	x ə k ⁵⁵	i n c t	x ə k ⁵⁵	3128
8498	Bola	dirt / filth	158	xəi³⁵	x əi ³⁵	i n t	x əi - ³⁵	3128
10222	Lashi	dirt / filth	158	ʃei⁵⁵	ʃ ei ⁵⁵	i n t	ʃ ei - ⁵⁵	3128
#
993	Rangoon	dirty	989	ȵiʔ⁴pɑʔ⁴	ɲ i ʔ ⁴ + p ɑ ʔ ⁴	i n c t + i n c t	ɲ i ʔ ⁴ + p ɑ ʔ ⁴	3143 3144
2750	Achang_Longchuan	dirty	989	ək³⁵	/ʔ ə k ³⁵	i n c t	/ʔ ə k ³⁵	3138
4304	Xiandao	dirty	989	ɤk³⁵	/ʔ ɤ k ³⁵	i n c t	/ʔ ɤ k ³⁵	3138
5926	Atsi	dirty	989	tʃhaʔ⁵⁵	tʃʰ a ʔ ⁵⁵	i n c t	tʃʰ a ʔ ⁵⁵	3139
7621	Maru	dirty	989	la̱u³⁵	ˀl au ³⁵	i n t	ˀl au ³⁵	3140
9305	Bola	dirty	989	lu̱³⁵	ˀl u ³⁵	i n t	ˀl u ³⁵	3140
10941	Lashi	dirty	989	a³¹san⁵⁵	/ʔ a ³¹ + s a n ⁵⁵	i n t + i n c t	/ʔ a ³¹ + s a n ⁵⁵	3141 3142
11634	Old_Burmese	dirty	989	ñac	ɲ a c ⁴	i n c t	ɲ a c ⁴	3143
#
1627	Rangoon	disappear / vanish	1612	pjɑuʔ⁴	p j ɑ u ʔ ⁴	i m n N c t	p j ɑ u ʔ ⁴	3148
3333	Achang_Longchuan	disappear / vanish	1612	tʂoʔ⁵⁵	tʂ o ʔ ⁵⁵	i n c t	tʂ o ʔ ⁵⁵	3147
6562	Atsi	disappear / vanish	1612	pjuʔ²¹	p j u ʔ ²¹	i m n c t	p j u - ʔ ²¹	3148
8194	Maru	disappear / vanish	1612	pjauk³¹	p j au k ³¹	i m n c t	p j au - k ³¹	3148
9922	Bola	disappear / vanish	1612	pjauʔ³¹	p j au ʔ ³¹	i m n c t	p j au - ʔ ³¹	3148
11472	Lashi	disappear / vanish	1612	pjuːk³¹	p j uː k ³¹	i m n c t	p j uː - k ³¹	3148
#
1592	Rangoon	dislocate (a joint)	1577	lwɛ⁵⁵	l w ɛ ⁵⁵	i m n t	l w ɛ ⁵⁵	3152
3303	Achang_Longchuan	dislocate (a joint)	1577	ɕet³⁵	ɕ e t ³⁵	i n c t	ɕ e t ³⁵	3149
4771	Xiandao	dislocate (a joint)	1577	khɯk⁵⁵	kh ɯ k ⁵⁵	i n c t	kh ɯ k ⁵⁵	3151
6527	Atsi	dislocate (a joint)	1577	kjut²¹	k j u t ²¹	i m n c t	k j u t ²¹	3150
8162	Maru	dislocate (a joint)	1577	kjɛt³¹	k j ɛ t ³¹	i m n c t	k j ɛ t ³¹	3150
9889	Bola	dislocate (a joint)	1577	la̱k⁵⁵	ˀl a k ⁵⁵	i n c t	ˀl a k ⁵⁵	3151
#
1491	Rangoon	dissolve	1480	pjɔ²²	p j ɔ ²²	i m n t	p j ɔ ²²	3155
3202	Achang_Longchuan	dissolve	1480	noŋ⁵⁵	n o ŋ ⁵⁵	i n c t	n o ŋ ⁵⁵	3154
4679	Xiandao	dissolve	1480	ɲon³¹	ɲ o n ³¹	i n c t	ɲ o n ³¹	3154
